,travel_mode,purpose,faretype,day_of_week,start_time_linear,age,female,driving_license,distance,dur_walking,dur_cycling,dur_driving,driving_traffic_percent,hh_vehicles,hh_income,hh_people,dur_pt,hh_region
68,pt,HBO,full,1,9.916666667,35,1,1,565,0.125277778,0.068611111,0.115277778,0.291566,0,20-25k,5,0.088333333,North London
69,drive,HBO,full,2,16.0,38,1,1,2710,0.918055556,0.309722222,0.140555556,0.304348,1,25-35k,7,0.299166667,South London
70,walk,HBO,full,6,14.58333333,56,1,1,993,0.314722222,0.125555556,0.1425,0.192982,0,50-75k,2,0.306111111,West London
71,pt,HBO,dis,2,8.5,40,1,1,932,0.269166667,0.144444444,0.112222222,0.539604,1,50-75k,3,0.207777778,Central London
72,walk,HBO,free,2,20.33333333,55,1,1,540,0.155833333,0.055,0.034166667,0.113821,2,75-100k,1,0.061666667,South London
73,pt,HBO,full,4,12.66666667,41,1,0,1018,0.278888889,0.079444444,0.1075,0.307494,0,10-15k,5,0.213055556,Central London
74,drive,HBO,full,2,7.25,43,1,1,599,0.194166667,0.078333333,0.038333333,0.0289855,1,5-10k,2,0.181666667,South London
75,walk,HBW,free,5,11.0,51,1,0,409,0.106388889,0.039444444,0.028888889,0.413462,0,15-20k,4,0.103055556,Central London
76,walk,HBO,full,6,16.75,32,1,1,1236,0.391388889,0.130277778,0.117777778,0.375,1,>100k,2,0.202777778,West London
77,drive,HBW,full,4,8.0,24,1,1,5896,1.466111111,0.471111111,0.337777778,0.347862,3,>100k,6,0.911388889,West London
78,drive,HBE,full,1,15.5,25,1,1,1706,0.411666667,0.127777778,0.093888889,0.0710059,2,25-35k,5,0.3275,West London
79,drive,HBO,full,3,16.66666667,52,1,1,4950,1.131388889,0.348611111,0.262222222,0.71928,2,>100k,4,0.541388889,West London
80,drive,HBO,full,4,20.43333333,41,1,1,760,0.2125,0.0825,0.056388889,0.0492611,1,35-50k,7,0.152222222,South London
81,pt,HBW,full,4,18.5,37,1,1,8108,1.8325,0.610277778,0.481944444,0.355043,1,10-15k,2,0.705277778,West London
82,pt,HBW,full,5,16.5,53,1,1,7720,1.7475,0.588055556,0.507222222,0.397043,1,5-10k,4,0.918055556,North London
83,walk,HBE,dis,4,15.0,31,1,0,3009,0.646111111,0.21,0.191666667,0.75942,0,15-20k,2,0.331388889,Central London
84,drive,HBO,full,5,12.0,40,1,1,3739,1.056111111,0.374444444,0.288333333,0.374759,1,<5k,3,0.605,West London
85,drive,HBO,free,7,15.18333333,73,1,1,3867,1.025833333,0.290555556,0.211111111,0.414474,2,50-75k,2,0.590833333,North London
86,drive,HBO,full,3,19.58333333,28,1,1,1202,0.312777778,0.120555556,0.0875,0.212698,2,20-25k,3,0.173888889,South London
87,drive,HBO,free,5,7.5,70,0,1,2037,0.498888889,0.139444444,0.145555556,0.322519,1,50-75k,2,0.264444444,Central London
88,pt,HBW,full,2,9.333333333,18,1,0,5684,1.4175,0.423611111,0.317222222,0.251313,1,5-10k,4,0.397777778,South London
89,walk,HBO,full,6,16.0,27,1,0,622,0.182777778,0.059166667,0.054722222,0.106599,1,35-50k,4,0.158055556,East London
90,drive,HBE,dis,2,15.5,40,1,1,1884,0.505277778,0.162222222,0.140833333,0.136095,2,50-75k,4,0.319166667,South London
91,pt,HBO,free,3,11.0,87,0,0,624,0.187222222,0.083333333,0.077222222,0.377698,0,25-35k,2,0.136666667,East London
92,drive,HBO,full,6,15.0,37,1,1,4797,1.255,0.390555556,0.329722222,0.360573,1,10-15k,4,0.637222222,East London
93,drive,HBO,free,2,12.66666667,60,1,1,2055,0.567777778,0.164444444,0.153888889,0.193141,1,75-100k,2,0.265277778,South London
94,walk,B,free,1,10.33333333,68,1,0,2464,0.6675,0.229166667,0.221111111,0.414573,1,10-15k,2,0.453333333,West London
95,walk,HBO,full,6,17.0,25,1,1,1121,0.275277778,0.072777778,0.144166667,0.0847784,0,25-35k,2,0.283888889,East London
96,pt,HBO,full,6,13.5,24,1,0,5402,1.277777778,0.441111111,0.427777778,0.651299,0,<5k,1,0.576944444,Central London
97,pt,NHBO,full,1,14.5,38,1,0,7134,1.671111111,0.5425,0.543611111,0.622381,0,10-15k,3,0.570555556,Central London
98,pt,HBE,dis,4,7.333333333,34,1,0,1610,0.428055556,0.145555556,0.141666667,0.529412,0,50-75k,4,0.385555556,West London
99,drive,HBO,child,2,16.91666667,14,1,0,1609,0.439444444,0.125277778,0.123611111,0.0224719,1,25-35k,5,0.327777778,West London
100,pt,HBW,full,3,14.5,48,1,1,10255,2.541388889,0.731666667,0.573888889,0.38577,2,>100k,3,1.135555556,West London
101,drive,HBO,full,4,10.75,51,1,1,1677,0.415833333,0.129444444,0.097222222,0.108571,1,50-75k,4,0.318888889,South London
102,walk,HBE,full,2,15.25,25,1,0,819,0.239722222,0.08,0.096111111,0.213873,0,10-15k,3,0.215833333,Central London
103,drive,HBO,dis,6,21.5,23,0,1,2697,0.756111111,0.286944444,0.148333333,0.162921,2,25-35k,3,0.344444444,South London
104,walk,HBO,full,1,14.5,35,0,0,930,0.245555556,0.094722222,0.064444444,0.116379,0,<5k,1,0.15,Central London
105,cycle,HBO,full,7,15.75,32,1,1,2701,0.673888889,0.262222222,0.192777778,0.43804,0,<5k,1,0.308888889,West London
106,drive,HBO,full,5,12.75,59,1,1,4138,0.964166667,0.275555556,0.230555556,0.281928,1,5-10k,1,0.521944444,West London
107,cycle,HBE,full,1,8.666666667,41,1,1,717,0.24,0.088888889,0.105277778,0.39314,1,5-10k,5,0.196666667,Central London
108,drive,HBO,free,1,13.33333333,64,1,1,5983,1.629444444,0.533333333,0.31,0.149642,2,50-75k,2,0.723888889,South London
109,pt,HBE,full,1,17.75,21,1,1,10457,2.547222222,0.787777778,0.697222222,0.64263,1,25-35k,3,0.816666667,West London
110,pt,HBO,free,5,9.5,64,1,1,7126,1.927777778,0.526388889,0.319444444,0.245217,2,20-25k,2,0.582777778,West London
111,pt,HBO,full,4,15.5,34,1,1,2465,0.665,0.233611111,0.322777778,0.390706,0,5-10k,4,0.354722222,North London
112,pt,HBW,full,5,17.33333333,40,0,1,4654,1.242222222,0.436111111,0.473055556,0.611274,1,>100k,4,0.506666667,Central London
113,pt,HBW,full,4,12.0,38,1,1,3419,0.794722222,0.247777778,0.209722222,0.427815,1,25-35k,11,0.323611111,West London
114,pt,B,full,3,12.5,41,0,1,6006,1.443055556,0.445,0.341111111,0.485342,1,35-50k,4,0.466388889,West London
115,walk,HBE,child,2,15.25,11,0,0,507,0.161944444,0.0725,0.064166667,0.4329,1,10-15k,5,0.125277778,West London
116,drive,NHBO,full,6,17.25,36,0,1,2017,0.515,0.117777778,0.131944444,0.185263,1,75-100k,3,0.411111111,South London
117,pt,HBW,full,1,17.5,43,0,1,16904,4.021944444,1.331666667,0.931944444,0.542474,1,50-75k,4,0.925555556,South London
118,drive,B,full,3,12.83333333,56,0,1,15456,3.7675,1.074722222,0.893611111,0.460367,2,20-25k,2,0.960555556,South London
119,drive,NHBO,full,7,15.76666667,34,1,0,2057,0.600277778,0.191666667,0.171666667,0.166667,1,15-20k,3,0.330277778,North London
120,drive,NHBO,full,6,12.41666667,22,0,0,1748,0.4925,0.215,0.155,0.480287,0,25-35k,3,0.268333333,Central London
121,drive,HBE,full,3,15.0,43,1,1,3789,0.920833333,0.283611111,0.239166667,0.207898,1,>100k,5,0.541944444,South London
122,pt,HBO,full,6,10.0,63,1,0,5620,1.351111111,0.489166667,0.381111111,0.246356,0,5-10k,2,0.730555556,Central London
123,drive,HBO,free,5,20.0,52,1,1,4026,0.938333333,0.273611111,0.200277778,0.20111,1,15-20k,2,0.427777778,South London
124,drive,HBO,full,2,14.0,52,1,1,2950,0.691666667,0.210277778,0.145833333,0.167619,2,35-50k,4,0.345277778,West London
125,walk,NHBO,full,2,10.86666667,30,1,1,400,0.111111111,0.0875,0.071111111,0.566406,1,25-35k,4,0.094722222,West London
126,walk,HBE,full,1,15.26666667,42,1,1,691,0.181111111,0.083611111,0.054166667,0.179487,1,50-75k,4,0.15,West London
127,drive,HBO,full,4,14.0,32,1,1,10180,2.433611111,0.653055556,0.472777778,0.315511,1,20-25k,2,0.631111111,West London
128,pt,HBW,full,1,8.0,29,1,0,10663,2.4275,0.789166667,0.465,0.437276,1,20-25k,3,0.752222222,South London
129,pt,HBW,full,2,18.5,47,1,1,11992,2.903333333,0.875833333,0.828611111,0.591686,2,25-35k,5,0.994444444,South London
130,drive,HBO,full,6,12.33333333,42,0,1,2124,0.568888889,0.208611111,0.1325,0.312369,1,5-10k,4,0.296111111,South London
131,drive,HBO,free,4,11.33333333,5,1,0,1454,0.425277778,0.132222222,0.113333333,0.0465686,1,75-100k,4,0.224722222,South London
132,walk,HBO,full,3,11.0,59,1,0,610,0.141944444,0.060833333,0.145555556,0.0515267,0,5-10k,2,0.075555556,West London
133,pt,HBW,full,2,10.0,24,1,1,7215,1.728611111,0.571388889,0.52,0.653312,0,50-75k,2,0.6075,North London
134,drive,HBO,full,4,18.5,33,0,1,3934,1.033888889,0.275555556,0.254166667,0.185792,2,50-75k,5,0.63,South London
135,walk,HBO,free,6,17.5,66,1,1,914,0.219444444,0.076388889,0.064166667,0.0779221,1,<5k,1,0.161944444,North London
136,drive,HBO,full,1,20.0,27,1,1,6078,1.465277778,0.456388889,0.358055556,0.269977,1,50-75k,2,0.571388889,South London
137,drive,NHBO,full,6,23.5,32,1,1,10141,2.576944444,0.778888889,0.354166667,0.133333,0,25-35k,2,1.086944444,South London
138,pt,HBE,full,4,9.5,59,1,1,4045,0.9975,0.285833333,0.249444444,0.344098,1,10-15k,1,0.48,South London
139,drive,B,full,7,11.66666667,53,1,1,4539,1.079722222,0.354166667,0.223888889,0.279156,2,25-35k,3,0.535,Central London
140,drive,HBW,full,6,12.5,38,1,1,12220,2.9375,0.9675,0.864444444,0.559126,1,35-50k,3,1.096388889,East London
141,pt,HBO,free,5,7.833333333,60,1,1,3807,0.953333333,0.285833333,0.205555556,0.271622,0,5-10k,1,0.403055556,South London
142,pt,B,free,3,14.0,65,1,1,11377,2.594722222,0.800833333,0.545,0.510194,2,75-100k,2,0.745,West London
143,pt,NHBO,free,5,10.0,54,1,0,1369,0.380277778,0.131666667,0.126666667,0.212719,0,<5k,2,0.211666667,Central London
144,pt,HBO,free,5,15.25,65,1,1,3540,0.895277778,0.3225,0.320277778,0.638335,1,20-25k,1,0.396944444,Central London
145,walk,HBO,full,7,9.666666667,33,1,1,1193,0.272777778,0.071944444,0.073055556,0.0912548,1,10-15k,2,0.155277778,Central London
146,pt,HBO,free,4,13.75,66,0,1,6001,1.399166667,0.482777778,0.369166667,0.244545,0,5-10k,3,0.451111111,North London
147,drive,HBW,full,4,18.16666667,26,1,0,980,0.238333333,0.053333333,0.068611111,0.0607287,3,35-50k,4,0.179722222,West London
148,pt,HBO,full,4,10.5,24,1,0,1301,0.323888889,0.103333333,0.104166667,0.408,0,20-25k,2,0.191111111,Central London
149,pt,HBW,full,6,18.0,46,1,0,7558,1.761666667,0.591111111,0.428333333,0.383917,0,15-20k,1,1.059166667,West London
150,pt,NHBO,full,4,15.0,26,1,0,2590,0.667777778,0.212777778,0.242777778,0.430206,0,15-20k,1,0.203611111,South London
151,pt,HBO,full,3,12.08333333,51,1,1,1705,0.407222222,0.121111111,0.118333333,0.558685,0,5-10k,2,0.2375,Central London
152,drive,HBO,full,2,12.0,36,1,0,2093,0.521944444,0.172222222,0.196666667,0.365819,1,5-10k,5,0.359722222,West London
153,pt,HBO,free,4,10.75,60,1,1,878,0.2275,0.072777778,0.058333333,0.290476,1,15-20k,2,0.119444444,South London
154,drive,HBW,full,3,17.5,56,1,1,4441,1.150277778,0.382222222,0.393611111,0.625265,1,50-75k,3,0.540277778,West London
155,drive,HBO,full,6,11.08333333,50,0,1,2966,0.6575,0.226388889,0.215,0.400517,2,75-100k,3,0.391666667,West London
156,drive,HBO,full,4,19.0,30,1,1,8075,1.9475,0.565555556,0.443333333,0.308897,2,50-75k,3,0.931666667,South London
157,drive,HBW,full,6,16.0,50,0,1,3498,0.873055556,0.255555556,0.245833333,0.353672,1,5-10k,5,0.234166667,South London
158,drive,HBW,full,4,16.0,39,1,1,2219,0.590555556,0.163888889,0.242222222,0.558486,1,35-50k,2,0.420555556,East London
159,pt,HBO,full,5,23.91666667,30,0,0,16644,3.823333333,1.266388889,0.864166667,0.648987,0,20-25k,1,0.974166667,South London
160,drive,HBO,full,6,21.5,29,1,1,3343,0.803333333,0.2,0.179444444,0.297214,1,50-75k,4,0.413888889,South London
161,drive,HBO,dis,5,21.5,26,1,1,2446,0.693333333,0.234444444,0.140833333,0.43787,3,35-50k,3,0.380277778,West London
162,pt,HBW,full,1,19.0,30,1,1,12619,2.861666667,0.884166667,0.838333333,0.524188,2,75-100k,4,0.933611111,North London
163,drive,NHBO,full,4,8.25,35,1,1,2686,0.631666667,0.211666667,0.1425,0.167641,1,50-75k,4,0.252777778,South London
164,drive,NHBO,full,6,20.5,36,1,1,3236,0.878611111,0.338055556,0.331111111,0.627517,1,25-35k,6,0.461944444,East London
165,drive,HBW,full,6,23.75,50,0,1,2143,0.485,0.163611111,0.132222222,0.191176,1,50-75k,5,0.179722222,South London
166,drive,NHBO,full,3,9.0,32,1,1,2472,0.624722222,0.203055556,0.168888889,0.327303,2,35-50k,3,0.320277778,West London
167,cycle,HBO,full,6,18.0,27,1,1,3001,0.881111111,0.31,0.2675,0.444444,0,25-35k,1,0.566666667,West London
168,pt,NHBO,full,1,8.916666667,39,1,0,2173,0.5375,0.200555556,0.195833333,0.377305,0,5-10k,2,0.220555556,Central London
169,drive,B,full,1,20.0,44,0,1,7108,1.759722222,0.566666667,0.462222222,0.673678,1,75-100k,4,0.577222222,West London
170,walk,HBO,free,4,14.83333333,64,1,0,282,0.125555556,0.038055556,0.039166667,0.234043,1,50-75k,2,0.121944444,Central London
171,pt,HBW,full,2,7.5,34,1,0,6614,1.471111111,0.487777778,0.3625,0.370115,0,35-50k,1,0.8075,South London
172,drive,HBO,full,3,7.25,43,0,1,2433,0.585,0.215,0.222222222,0.13875,5,75-100k,2,0.175833333,Central London
173,drive,HBO,free,2,18.5,77,1,1,4528,1.216944444,0.344444444,0.2175,0.358876,1,5-10k,1,0.610833333,West London
174,walk,HBO,full,4,20.25,26,1,1,1401,0.323611111,0.120555556,0.103611111,0.659517,0,50-75k,2,0.15,Central London
175,drive,NHBO,full,6,18.5,34,1,1,4953,1.249444444,0.4725,0.424166667,0.703995,0,50-75k,1,0.500833333,South London
176,pt,NHBO,full,7,20.16666667,33,1,1,14166,3.296388889,0.987777778,0.499444444,0.340378,2,75-100k,4,0.416111111,West London
177,drive,HBO,free,2,11.0,70,1,1,13082,3.214444444,1.131944444,0.660555556,0.300673,1,10-15k,1,1.110555556,Central London
178,walk,HBO,full,4,15.66666667,47,1,0,1047,0.300833333,0.131944444,0.135555556,0.420082,1,35-50k,4,0.220833333,Central London
179,drive,HBO,full,7,16.0,24,1,1,4150,1.136111111,0.344166667,0.216388889,0.3543,1,20-25k,2,0.557222222,West London
180,drive,NHBO,full,5,10.66666667,66,1,1,6496,1.716111111,0.576111111,0.371944444,0.215833,1,15-20k,1,0.741944444,South London
181,walk,HBO,full,3,17.5,56,0,1,1294,0.306666667,0.115,0.118055556,0.0917647,1,35-50k,2,0.142777778,Central London
182,drive,HBO,full,4,11.0,40,1,1,2799,0.651388889,0.223611111,0.260555556,0.444563,1,15-20k,3,0.309722222,West London
183,drive,HBO,free,4,15.75,8,1,0,1843,0.516111111,0.19,0.222777778,0.280549,1,5-10k,3,0.396666667,East London
184,pt,HBO,full,7,21.0,29,1,0,8202,1.957222222,0.704166667,0.536944444,0.489395,0,25-35k,1,0.552222222,Central London
185,drive,HBO,free,2,15.16666667,64,1,1,1566,0.398888889,0.116944444,0.092777778,0.374251,1,25-35k,2,0.350833333,West London
186,drive,NHBO,full,7,15.25,36,1,1,4223,0.954166667,0.301666667,0.313611111,0.520815,2,>100k,3,0.586388889,West London
187,pt,HBE,dis,2,14.41666667,42,1,0,2328,0.637777778,0.240277778,0.116111111,0.110048,0,5-10k,3,0.571111111,Central London
188,pt,B,full,4,17.5,40,0,1,11211,2.629166667,0.923611111,0.766388889,0.769482,1,75-100k,3,0.781111111,Central London
189,drive,HBO,free,5,9.5,30,1,1,1928,0.457777778,0.138333333,0.103055556,0.167116,2,50-75k,3,0.189166667,West London
190,drive,NHBO,full,4,18.91666667,41,1,1,1326,0.341944444,0.107222222,0.133333333,0.3,1,50-75k,4,0.134444444,South London
191,pt,HBW,dis,3,17.5,54,1,1,3783,0.886944444,0.286111111,0.249166667,0.602007,1,35-50k,3,0.3125,Central London
192,drive,B,full,3,14.0,52,1,0,3750,0.871666667,0.273333333,0.231388889,0.330132,0,20-25k,3,0.471666667,West London
193,walk,HBW,full,4,15.33333333,39,1,0,677,0.217222222,0.095833333,0.070555556,0.0866142,0,15-20k,5,0.197222222,West London
194,drive,NHBO,free,6,14.5,65,1,0,838,0.215,0.082222222,0.061388889,0.104072,0,20-25k,1,0.210833333,South London
195,pt,HBO,full,2,9.25,28,1,0,2776,0.686111111,0.216944444,0.226388889,0.422086,0,50-75k,2,0.476388889,Central London
196,pt,HBW,full,1,12.5,42,1,1,3240,0.846666667,0.25,0.225555556,0.535714,0,15-20k,3,0.654444444,West London
197,pt,HBW,free,3,8.0,62,1,1,13708,3.124166667,0.833611111,0.670277778,0.572317,1,50-75k,2,0.885833333,West London
198,drive,HBO,full,3,18.08333333,35,1,1,2674,0.686666667,0.203055556,0.1825,0.275495,1,10-15k,4,0.533611111,West London
199,drive,B,full,7,11.25,18,1,1,4768,1.193888889,0.358055556,0.243055556,0.154286,2,50-75k,3,0.649722222,West London
200,drive,HBO,full,7,17.0,46,1,1,2987,0.843055556,0.248055556,0.151388889,0.159633,1,35-50k,2,0.283055556,East London
201,drive,B,free,4,14.16666667,62,0,1,3788,1.298055556,0.351111111,0.174444444,0.171975,2,35-50k,2,0.534722222,West London
202,drive,HBO,full,3,13.0,30,1,1,7417,2.243333333,0.704166667,0.408888889,0.120245,1,5-10k,2,1.023611111,South London
203,walk,HBO,free,4,15.91666667,61,1,1,248,0.086111111,0.050555556,0.05,0.472222,0,20-25k,1,0.063888889,Central London
204,pt,NHBO,free,5,11.16666667,92,1,0,3638,0.849166667,0.283888889,0.2325,0.332139,0,5-10k,1,0.261388889,South London
205,walk,NHBO,free,2,13.25,66,1,1,707,0.1775,0.05,0.057222222,0.116505,1,10-15k,2,0.109444444,South London
