,age,female,hh_borough
206,5,0,Croydon
207,21,0,Runnymede
208,8,1,Watford
209,27,1,Hackney
210,39,1,Spelthorne
211,19,1,Richmond upon Thames
212,86,1,Hertsmere
213,28,1,Merton
214,60,0,Thurrock
215,63,1,Redbridge
216,74,1,Southwark
217,8,1,Ealing
218,20,0,Hackney
219,43,0,Greenwich
220,80,0,Westminster
221,4,0,South Bucks
222,58,0,Haringey
223,16,1,Hackney
224,53,0,Tower Hamlets
225,40,1,Brent
226,7,1,Hillingdon
227,81,0,Bromley
228,27,1,Haringey
229,56,0,Kingston upon Thames
230,29,1,Westminster
231,27,1,Hammersmith & Fulham
232,19,0,South Bucks
233,7,0,Tower Hamlets
234,51,0,Lewisham
235,14,0,Hammersmith & Fulham
236,46,1,Epping Forest
237,38,1,Southwark
238,34,0,South Bucks
239,1,0,Ealing
240,64,0,Bexley
241,53,0,Southwark
242,45,1,Croydon
243,51,0,Hillingdon
244,29,0,Merton
245,32,1,Ealing
246,31,0,Lambeth
247,31,0,Haringey
248,27,0,Wandsworth
249,45,0,Newham
250,51,1,Lambeth
251,43,1,Waltham Forest
252,14,0,Islington
253,40,0,Barnet
254,17,1,Croydon
255,42,0,Waltham Forest
256,57,0,Hounslow
257,36,1,Bexley
258,30,0,Brent
259,24,0,Camden
260,72,1,Havering
261,24,1,Haringey
262,2,1,Croydon
263,37,0,Merton
264,43,1,Hertsmere
265,71,0,Reigate and Banstead
266,15,1,Haringey
267,1,0,Lewisham
268,30,1,Hillingdon
269,33,1,Enfield
270,60,1,Enfield
271,9,1,Haringey
272,19,1,Croydon
273,20,1,Kingston upon Thames
274,65,1,Havering
275,67,0,Lambeth
276,51,0,Redbridge
277,44,0,Redbridge
278,27,1,Lambeth
279,59,1,Bexley
280,9,0,Ealing
281,6,1,Barnet
282,47,0,Hammersmith & Fulham
283,32,1,Brent
284,8,1,South Bucks
285,38,1,Spelthorne
286,19,0,Runnymede
287,43,1,Merton
288,29,0,Newham
289,76,0,Haringey
290,28,1,Greenwich
291,30,0,Haringey
292,50,1,Southwark
293,67,0,Croydon
294,1,1,Enfield
295,41,1,Lambeth
296,11,0,Tower Hamlets
297,82,1,Richmond upon Thames
298,36,0,Lambeth
299,13,1,Haringey
300,1,0,Lewisham
301,40,1,Brent
302,51,0,Waltham Forest
303,27,1,Wandsworth
304,88,1,Tower Hamlets
305,11,1,Croydon
306,50,1,Brent
307,27,0,Tower Hamlets
308,13,0,Enfield
309,40,1,Ealing
310,19,0,Camden
311,14,0,Elmbridge
312,38,1,Redbridge
313,26,0,Kingston upon Thames
314,46,1,Southwark
315,59,1,Enfield
316,44,1,Merton
317,8,1,Hackney
318,4,0,Redbridge
319,16,1,Newham
320,3,1,Hackney
321,23,0,Barnet
322,0,0,Newham
323,43,1,Southwark
324,41,1,Wandsworth
325,34,0,Richmond upon Thames
326,54,0,Elmbridge
327,43,1,Brent
328,69,0,Islington
329,54,1,Dartford
330,13,1,Bromley
331,27,1,Hounslow
332,68,0,Bexley
333,30,0,Islington
334,22,0,Wandsworth
335,34,1,Hackney
336,5,0,Hillingdon
337,51,0,Islington
338,27,1,Hertsmere
339,60,1,Hammersmith & Fulham
340,48,0,Havering
341,42,0,Hammersmith & Fulham
342,52,0,Barking and Dagenham
343,36,1,Bromley
344,53,1,Epping Forest
345,21,0,Hillingdon
346,60,0,Brent
347,62,1,Redbridge
348,85,1,Elmbridge
349,82,1,Elmbridge
350,6,1,Redbridge
351,70,0,Hillingdon
352,53,0,Barnet
353,76,0,Merton
354,49,0,Havering
355,6,0,Richmond upon Thames
356,72,0,Brent
357,9,1,Croydon
358,45,1,Southwark
359,50,0,Barnet
360,29,0,Thurrock
361,2,1,Brent
362,35,1,Kingston upon Thames
363,34,0,Ealing
364,28,0,Newham
365,23,1,Kensington and Chelsea
366,58,1,Westminster
367,4,1,Tandridge
368,21,0,Haringey
369,62,0,Southwark
370,5,0,Newham
371,84,1,Greenwich
372,32,0,Redbridge
373,21,0,Wandsworth
374,35,0,Haringey
375,19,1,Camden
376,69,1,Waltham Forest
377,77,0,Barnet
378,31,0,Croydon
379,32,1,Lewisham
380,3,0,Croydon
381,29,0,Camden
382,0,0,Southwark
383,27,0,Lewisham
384,32,0,Croydon
385,37,1,Brent
386,47,1,Elmbridge
387,8,1,Reigate and Banstead
388,25,1,Southwark
389,22,0,Enfield
390,79,1,Merton
391,56,1,Brent
392,4,0,Camden
393,21,1,Wandsworth
394,84,1,Bexley
395,38,1,Watford
396,1,0,Wandsworth
397,87,1,Southwark
398,42,0,Kingston upon Thames
399,6,1,Lambeth
400,39,0,Sutton
401,40,1,Redbridge
402,28,0,Ealing
403,33,0,Wandsworth
404,0,0,Sutton
405,31,0,Barnet
406,67,1,Hounslow
407,33,0,Lewisham
408,19,0,Newham
409,65,0,Hillingdon
410,30,0,Sutton
411,27,1,Wandsworth
412,22,0,Enfield
413,22,0,Islington
414,38,1,Croydon
415,6,1,Croydon
416,58,1,Epping Forest
417,23,1,Kensington and Chelsea
418,2,1,Reigate and Banstead
419,3,1,Croydon
420,31,1,Redbridge
421,34,0,Hammersmith & Fulham
422,42,0,Merton
423,66,0,Barking and Dagenham
424,39,0,Enfield
425,67,1,Hertsmere
426,30,1,Newham
427,27,1,Croydon
428,32,0,Croydon
429,30,1,Ealing
430,34,1,Islington
431,35,1,Hackney
432,41,1,Lambeth
433,31,0,Lambeth
434,63,0,Camden
435,40,0,Ealing
436,16,0,Wandsworth
437,30,0,Brent
438,50,1,Enfield
439,38,1,Harrow
440,24,1,Tower Hamlets
441,29,0,Hackney
442,29,1,Barnet
443,48,0,Westminster
444,38,1,Kensington and Chelsea
445,5,1,Ealing
446,41,0,Elmbridge
447,46,0,Tandridge
448,38,0,Camden
449,62,1,Croydon
450,53,1,Reigate and Banstead
451,6,1,Sutton
452,32,1,Havering
453,2,1,Hounslow
454,15,1,Islington
455,28,0,Croydon
456,18,0,Harrow
457,52,1,Tower Hamlets
458,46,1,Bexley
459,70,0,Bromley
460,36,1,Barking and Dagenham
461,17,1,Enfield
462,44,1,Wandsworth
463,53,1,Three Rivers
464,13,0,Greenwich
465,66,1,Kensington and Chelsea
466,61,0,Westminster
467,35,0,Mole Valley
468,9,0,Haringey
469,32,1,Lewisham
470,22,0,Waltham Forest
471,75,0,Harrow
472,7,1,Southwark
473,55,0,Barking and Dagenham
474,42,1,Tandridge
475,50,0,Camden
476,30,0,Harrow
477,45,1,Tower Hamlets
478,37,1,Ealing
479,72,1,Enfield
480,19,0,Tandridge
481,29,1,Merton
482,15,0,Harrow
483,38,1,Hillingdon
484,44,1,Enfield
485,21,0,Tower Hamlets
486,49,0,Greenwich
487,13,1,Hounslow
488,26,0,Redbridge
489,22,0,Waltham Forest
490,39,0,Three Rivers
491,2,1,Croydon
492,83,1,Camden
493,19,0,Tower Hamlets
494,28,0,Barnet
495,29,0,Brent
496,48,1,Newham
497,3,1,Sevenoaks
498,33,0,Hackney
499,42,1,Waltham Forest
500,42,0,Ealing
501,72,1,Kensington and Chelsea
502,30,1,Wandsworth
503,48,0,Enfield
504,57,1,Havering
505,69,1,Enfield
506,75,0,Kensington and Chelsea
507,56,1,Kingston upon Thames
508,49,1,Havering
509,35,1,Wandsworth
510,10,0,Southwark
511,56,0,Woking
512,30,0,Merton
513,83,1,Sevenoaks
514,28,1,Hackney
515,3,0,Barking and Dagenham
516,17,1,Islington
517,29,1,Newham
518,22,0,Richmond upon Thames
519,6,0,Lewisham
520,66,0,Sutton
521,27,1,Southwark
522,34,0,Newham
523,30,0,Haringey
524,100,1,Hackney
525,72,1,Reigate and Banstead
526,12,0,Bromley
527,36,1,Bromley
528,32,0,Haringey
529,40,1,Bexley
530,34,0,Croydon
531,47,1,Islington
532,62,0,Camden
533,11,1,Woking
534,25,0,Kingston upon Thames
535,27,0,Hillingdon
536,46,1,Brent
537,90,0,Epping Forest
538,21,0,Havering
539,27,1,Reigate and Banstead
540,7,1,Camden
541,91,1,Islington
542,8,0,Reigate and Banstead
543,15,0,Havering
544,23,1,Hounslow
545,38,1,Greenwich
546,47,0,Tower Hamlets
547,29,0,Kingston upon Thames
548,9,1,Croydon
549,24,0,Lambeth
550,41,1,Bexley
551,61,1,Brent
552,6,1,Wandsworth
553,45,0,Wandsworth
554,81,1,Merton
555,47,1,Newham
556,44,0,Lambeth
557,64,0,Croydon
558,75,0,Epping Forest
559,1,1,Camden
560,54,0,Watford
561,66,1,Havering
562,13,0,Lambeth
563,73,0,Lambeth
564,27,1,Newham
565,17,0,Havering
566,50,0,Harrow
567,11,0,Wandsworth
568,50,0,Bromley
569,36,1,Havering
570,55,1,Three Rivers
571,31,0,Richmond upon Thames
572,53,1,Redbridge
573,29,0,Lambeth
574,19,1,Havering
575,39,1,Lambeth
576,17,1,Wandsworth
577,26,1,Bexley
578,52,1,Bromley
579,6,0,Hackney
580,56,1,Harrow
581,18,1,Greenwich
582,35,0,Southwark
583,41,0,Lambeth
584,44,0,Kingston upon Thames
585,31,1,Sutton
586,27,0,Ealing
587,0,1,Lambeth
588,32,0,Watford
589,58,1,Havering
590,35,1,Watford
591,14,0,Merton
592,8,0,Haringey
593,0,0,Richmond upon Thames
594,49,0,Enfield
595,21,0,Redbridge
596,59,0,Croydon
597,1,1,Bexley
598,46,0,Hillingdon
599,16,1,Hounslow
600,91,0,Croydon
601,25,1,Sutton
602,42,1,Hackney
603,51,1,Richmond upon Thames
604,11,1,Redbridge
605,44,0,Bexley
606,64,1,Harrow
607,1,0,Hounslow
608,0,1,Reigate and Banstead
609,4,1,Lewisham
610,43,0,Islington
611,40,0,Hounslow
612,65,0,Barnet
613,84,0,Lewisham
614,15,1,Croydon
615,29,1,Wandsworth
616,61,0,Hertsmere
617,40,0,Richmond upon Thames
618,5,0,Croydon
619,42,1,Richmond upon Thames
620,75,0,Hillingdon
621,2,0,Kensington and Chelsea
622,40,0,Reigate and Banstead
623,27,1,Croydon
624,12,0,Kensington and Chelsea
625,21,0,Enfield
626,60,1,Kensington and Chelsea
627,54,1,Waltham Forest
628,25,1,Wandsworth
629,0,1,Haringey
630,5,0,Spelthorne
631,38,0,Tower Hamlets
632,12,1,Reigate and Banstead
633,69,1,Harrow
634,3,1,Elmbridge
635,8,0,Barking and Dagenham
636,22,0,Hackney
637,38,0,Westminster
638,67,0,Three Rivers
639,39,0,Thurrock
640,59,1,Sevenoaks
641,57,0,Hillingdon
642,37,0,Bromley
643,30,0,Wandsworth
644,24,0,Watford
645,67,1,Redbridge
646,34,1,Wandsworth
647,30,0,Harrow
648,55,0,Enfield
649,5,1,Hammersmith & Fulham
650,68,0,Tandridge
651,43,1,Hammersmith & Fulham
652,67,0,Harrow
653,82,1,Southwark
654,25,0,Tower Hamlets
655,66,0,Wandsworth
656,8,1,Newham
657,20,0,Hammersmith & Fulham
658,34,1,Wandsworth
659,21,0,Hackney
660,39,0,Harrow
661,50,1,Bexley
662,7,0,Haringey
663,24,0,Ealing
664,31,1,Newham
665,6,1,Islington
666,29,0,Barking and Dagenham
667,35,1,Croydon
668,4,1,Croydon
669,31,0,Westminster
670,72,1,Thurrock
671,56,1,Newham
672,50,0,Brent
673,75,0,Kensington and Chelsea
674,62,1,Redbridge
675,51,1,Lewisham
676,53,0,Hammersmith & Fulham
677,45,1,Barnet
678,19,0,Thurrock
679,18,0,Hammersmith & Fulham
680,40,1,Richmond upon Thames
681,70,0,Hackney
682,1,1,Redbridge
683,40,0,Westminster
684,34,1,Redbridge
685,11,0,Redbridge
686,90,0,Barking and Dagenham
687,5,0,Richmond upon Thames
688,21,1,Southwark
689,27,1,Hackney
690,59,0,Havering
691,19,1,Redbridge
692,18,1,Merton
693,88,1,Haringey
694,86,1,Barnet
695,27,1,Barking and Dagenham
696,28,1,Ealing
697,12,0,Greenwich
698,4,1,Ealing
699,26,0,Bromley
700,56,0,Hillingdon
701,1,1,Haringey
702,26,0,Wandsworth
703,27,1,Islington
704,77,0,Westminster
705,43,0,Spelthorne
706,9,1,Enfield
707,10,1,Haringey
708,21,1,Hammersmith & Fulham
709,38,0,Hackney
710,33,1,Hounslow
711,2,1,Croydon
712,68,1,Redbridge
713,25,0,Woking
714,50,0,Lambeth
715,9,0,Lewisham
716,22,0,Tower Hamlets
717,39,1,Bexley
718,61,0,Croydon
719,25,1,Kensington and Chelsea
720,29,0,Waltham Forest
721,21,1,Tower Hamlets
722,13,0,Waltham Forest
723,17,1,Spelthorne
724,34,0,Wandsworth
725,41,1,Waltham Forest
726,7,1,Brent
727,43,0,Sevenoaks
728,44,0,Hackney
729,59,0,Southwark
730,13,1,Croydon
731,38,0,Hillingdon
732,0,0,Ealing
733,34,0,Ealing
734,61,1,Richmond upon Thames
735,15,1,Kingston upon Thames
736,45,1,Sutton
737,76,1,Barnet
738,14,0,Barnet
739,24,1,Hammersmith & Fulham
740,46,0,Kingston upon Thames
741,67,0,Tandridge
742,9,0,Newham
743,23,1,Islington
744,36,0,Tower Hamlets
745,20,1,Southwark
746,2,0,Hillingdon
747,38,0,Barking and Dagenham
748,52,1,Barnet
749,28,1,Elmbridge
750,54,0,Hackney
751,4,1,Sevenoaks
752,68,1,Newham
753,55,1,Hammersmith & Fulham
754,29,0,Greenwich
755,21,1,Wandsworth
756,48,0,Waltham Forest
757,27,1,Barnet
758,3,1,Redbridge
759,89,1,Wandsworth
760,41,0,Richmond upon Thames
761,29,1,Hackney
762,32,1,Ealing
763,42,1,Enfield
764,35,1,Westminster
765,53,1,Kingston upon Thames
766,39,0,Hillingdon
767,38,1,Woking
768,76,1,Bexley
769,54,1,Bromley
770,32,0,Enfield
771,41,0,Hillingdon
772,62,1,Havering
773,45,1,Lewisham
774,9,1,Redbridge
775,40,0,Kingston upon Thames
776,19,1,Thurrock
777,18,0,Camden
778,12,0,Havering
779,7,0,Bromley
780,22,1,Barnet
781,33,1,Greenwich
782,24,1,Redbridge
783,2,1,Waltham Forest
784,8,0,Havering
785,10,0,Harrow
786,58,0,Kensington and Chelsea
787,59,1,Runnymede
788,53,1,Croydon
789,52,0,Richmond upon Thames
790,11,1,Camden
791,13,0,Haringey
792,42,1,Hackney
793,50,0,Hackney
794,17,0,Southwark
795,36,0,Epsom and Ewell
796,49,0,Enfield
797,35,0,Lewisham
798,9,0,Kingston upon Thames
799,26,0,Camden
800,28,0,Westminster
801,47,0,Lewisham
802,31,0,Lewisham
803,53,1,Lewisham
804,6,1,Barking and Dagenham
805,77,1,Hounslow
806,2,0,Richmond upon Thames
807,31,0,Bromley
808,0,1,Camden
809,35,1,Sevenoaks
810,41,0,Lambeth
811,84,1,Waltham Forest
812,6,1,Barnet
813,24,0,Kingston upon Thames
814,1,1,Barking and Dagenham
815,3,0,Enfield
816,54,1,Bromley
817,39,0,Islington
818,34,1,Hillingdon
819,59,1,Lambeth
820,80,0,Westminster
821,54,0,Brent
822,64,1,Dartford
823,74,1,Spelthorne
824,17,1,Enfield
825,19,1,Merton
826,43,0,Lewisham
827,21,0,Dartford
828,14,0,Brent
829,65,0,Mole Valley
830,40,1,Islington
831,28,1,Barnet
832,10,0,Camden
833,7,1,Ealing
834,84,1,Lewisham
835,1,1,Kingston upon Thames
836,68,0,Epping Forest
837,21,1,Southwark
838,14,0,Tower Hamlets
839,45,0,Greenwich
840,5,0,Richmond upon Thames
841,35,1,Newham
842,23,1,Ealing
843,43,1,Brent
844,24,1,Dartford
845,82,0,Sevenoaks
846,20,0,Lambeth
847,21,0,Kingston upon Thames
848,27,0,Kingston upon Thames
849,41,0,Enfield
850,22,1,Westminster
851,19,1,Hounslow
852,28,1,Barking and Dagenham
853,74,0,Enfield
854,37,1,Haringey
855,1,1,Islington
856,23,1,Ealing
857,44,1,Croydon
858,9,0,Mole Valley
859,29,1,Merton
860,1,0,Bexley
861,79,0,Hammersmith & Fulham
862,0,1,Lambeth
863,7,1,Lambeth
864,44,0,Merton
865,7,1,Camden
866,5,1,Bexley
867,1,0,Southwark
868,41,0,Newham
869,83,0,Newham
870,69,0,Enfield
871,62,0,Newham
872,53,1,Newham
873,40,0,Sutton
874,68,0,Barking and Dagenham
875,12,0,Islington
876,12,0,Epping Forest
877,56,0,Harrow
878,48,1,Bexley
879,45,1,Havering
880,18,0,Camden
881,39,1,Richmond upon Thames
882,24,0,Brent
883,50,1,Southwark
884,44,0,Ealing
885,57,0,Hillingdon
886,27,1,Hounslow
887,52,1,Hammersmith & Fulham
888,34,1,Richmond upon Thames
889,83,1,Epsom and Ewell
890,47,1,Reigate and Banstead
891,39,0,Sutton
892,65,1,Islington
893,32,1,Southwark
894,32,0,Bexley
895,32,0,Barnet
896,31,1,Merton
897,17,0,Kensington and Chelsea
898,4,0,Hounslow
899,38,1,Croydon
900,64,0,Bromley
901,17,0,Waltham Forest
902,23,1,Islington
903,33,0,Tower Hamlets
904,11,1,Epsom and Ewell
905,37,1,Barnet
906,36,1,Redbridge
907,21,1,Hammersmith & Fulham
908,25,1,Barnet
909,64,1,Hillingdon
910,15,0,Greenwich
911,27,0,Hackney
912,29,1,Barnet
913,41,1,Bromley
914,21,0,Brent
915,49,1,Tower Hamlets
916,4,1,Newham
917,62,1,Camden
918,35,0,Bromley
919,47,0,Newham
920,40,0,Barnet
921,71,1,Harrow
922,75,0,South Bucks
923,78,0,Hackney
924,6,1,Harrow
925,79,1,Hounslow
926,43,0,Greenwich
927,25,0,Havering
928,26,1,Tower Hamlets
929,28,0,Havering
930,15,1,Kingston upon Thames
931,73,1,Reigate and Banstead
932,23,0,Lewisham
933,34,0,Harrow
934,5,0,Bromley
935,3,1,Ealing
936,14,1,Redbridge
937,45,0,Lewisham
938,33,1,Bexley
939,44,1,Brent
940,57,1,Woking
941,77,1,Ealing
942,66,0,Lewisham
943,75,1,Haringey
944,6,0,Ealing
945,27,1,Islington
946,35,0,Redbridge
947,53,1,Elmbridge
948,32,1,Ealing
949,18,0,Elmbridge
950,43,0,Greenwich
951,68,0,Wandsworth
952,21,0,Westminster
953,18,0,Hillingdon
954,21,0,Redbridge
955,24,1,Greenwich
956,6,1,Ealing
957,57,1,Brent
958,18,1,Barnet
959,22,0,Greenwich
960,33,0,Lewisham
961,23,0,Bexley
962,82,0,Ealing
963,45,1,Barnet
964,32,1,Camden
965,50,0,Kensington and Chelsea
966,27,1,Harrow
967,9,0,Hertsmere
968,37,0,Barnet
969,40,0,Bexley
970,47,0,Spelthorne
971,20,0,Sutton
972,10,0,Redbridge
973,6,1,Southwark
974,31,1,Camden
975,13,0,Bexley
976,24,0,Lambeth
977,51,0,Sutton
978,33,0,Watford
979,22,1,Harrow
980,29,0,Hounslow
981,36,0,Havering
982,30,1,Hackney
983,23,1,Elmbridge
984,37,1,Hertsmere
985,12,0,Lewisham
986,29,1,Dartford
987,20,0,Croydon
988,32,0,Westminster
989,78,1,Epsom and Ewell
990,35,1,Harrow
991,23,1,Hammersmith & Fulham
992,12,1,Hounslow
993,41,1,Sevenoaks
994,56,1,Bromley
995,42,1,Wandsworth
996,43,0,Newham
997,29,1,Hounslow
998,73,1,Bexley
999,5,1,Ealing
1000,1,1,Spelthorne
1001,49,0,Ealing
1002,35,0,Islington
1003,59,1,Croydon
1004,34,1,Greenwich
1005,24,1,Hammersmith & Fulham
1006,3,1,Waltham Forest
1007,41,0,Dartford
1008,57,1,Hertsmere
1009,25,0,Barnet
1010,33,0,Camden
1011,14,1,Sevenoaks
1012,28,0,Hounslow
1013,2,1,Wandsworth
1014,9,1,Bexley
1015,35,1,Barnet
1016,47,1,Elmbridge
1017,2,0,Wandsworth
1018,41,1,Croydon
1019,44,1,Lambeth
1020,69,0,Reigate and Banstead
1021,39,0,Redbridge
1022,30,1,Havering
1023,64,0,Kingston upon Thames
1024,42,1,Redbridge
1025,11,1,Sevenoaks
1026,5,1,Hounslow
1027,37,1,Newham
1028,16,0,Kingston upon Thames
1029,13,0,Camden
1030,42,1,Reigate and Banstead
1031,16,1,Barnet
1032,35,0,Bexley
1033,49,1,Bexley
1034,25,0,Hillingdon
1035,1,0,Wandsworth
1036,14,0,Newham
1037,37,1,Hillingdon
1038,25,1,Epping Forest
1039,44,1,Thurrock
1040,38,0,Hillingdon
1041,5,0,Enfield
1042,29,0,Lambeth
1043,57,1,Bromley
1044,7,0,Spelthorne
1045,22,1,Tower Hamlets
1046,83,0,Three Rivers
1047,0,0,Epping Forest
1048,42,1,Barking and Dagenham
1049,86,1,Barnet
1050,44,0,Croydon
1051,6,1,Sutton
1052,59,1,Enfield
1053,21,1,Southwark
1054,62,1,Ealing
1055,75,0,Richmond upon Thames
1056,1,0,Bromley
1057,43,1,Hillingdon
1058,75,0,Mole Valley
1059,50,0,Lewisham
1060,28,0,Camden
1061,40,1,Hertsmere
1062,16,1,Barnet
1063,24,0,Watford
1064,36,0,Kensington and Chelsea
1065,44,1,Enfield
1066,31,1,Haringey
1067,3,0,Sevenoaks
1068,51,0,Redbridge
1069,44,0,Brent
1070,47,0,Harrow
1071,28,0,Havering
1072,56,0,Croydon
1073,46,1,Sevenoaks
1074,42,0,Sutton
1075,25,0,Southwark
1076,17,0,Three Rivers
1077,5,1,Newham
1078,8,0,Croydon
1079,67,1,Hackney
1080,40,0,Hounslow
1081,64,1,Richmond upon Thames
1082,4,1,Woking
1083,64,1,Elmbridge
1084,70,1,Sutton
1085,38,0,Waltham Forest
1086,3,0,Kingston upon Thames
1087,74,0,Harrow
1088,53,0,Croydon
1089,47,0,Newham
1090,1,0,Hounslow
1091,15,0,Enfield
1092,24,0,Lambeth
1093,36,0,Tower Hamlets
1094,3,0,Greenwich
1095,19,1,Redbridge
1096,27,1,Tower Hamlets
1097,30,0,Thurrock
1098,83,0,Elmbridge
1099,75,0,Harrow
1100,54,1,Southwark
1101,9,0,Brent
1102,39,0,Ealing
1103,0,0,Lewisham
1104,14,1,Waltham Forest
1105,37,1,Kensington and Chelsea
1106,19,1,Barnet
1107,21,0,Hillingdon
1108,45,0,Hackney
1109,38,0,Westminster
1110,62,1,Bexley
1111,72,0,Islington
1112,26,0,Merton
1113,53,0,Wandsworth
1114,32,1,Enfield
1115,3,0,Enfield
1116,23,0,Kensington and Chelsea
1117,17,0,Three Rivers
1118,34,0,Ealing
1119,29,0,Tower Hamlets
1120,49,1,Southwark
1121,52,0,Hounslow
1122,59,0,Hammersmith & Fulham
1123,49,1,Spelthorne
1124,32,1,Richmond upon Thames
1125,63,0,Lewisham
1126,32,1,Bexley
1127,1,1,Redbridge
1128,41,0,Waltham Forest
1129,27,1,Croydon
1130,46,0,Lambeth
1131,32,1,Bromley
1132,3,0,Hillingdon
1133,49,0,Redbridge
1134,26,1,Spelthorne
1135,39,1,Haringey
1136,17,1,Havering
1137,12,1,Waltham Forest
1138,34,0,Hammersmith & Fulham
1139,60,1,Harrow
